Location;SexRatioMto100F;M;F
China;105,3;0,51290794;0,48709206
Taiwan;98,8;0,496981891;0,503018109
New Zealand;96,7;0,491611591;0,508388409
Denmark;98,8;0,496981891;0,503018109
Finland;97,3;0,493157628;0,506842372
Norway;102,2;0,505440158;0,494559842
Sweden;100,4;0,500998004;0,499001996
United Kingdom;97,7;0,494183106;0,505816894
Italy;94,9;0,486916367;0,513083633
Spain;96,6;0,491353001;0,508646999
Austria;97,2;0,492900609;0,507099391
Belgium;98,3;0,495713565;0,504286435
France;93,8;0,484004128;0,515995872
Germany;97,8;0,494438827;0,505561173
Luxembourg;102,3;0,505684627;0,494315373
Netherlands;99,3;0,498243853;0,501756147
Switzerland;98,5;0,496221662;0,503778338
Canada;98,5;0,496221662;0,503778338
United States of America;97,9;0,49469429;0,50530571
